Stagione;Calciatore;Squadra;Età;Partite Giocate;Minuti Giocati;Reti;Assist;Reti Non Su Rigore;Rigori Tirati;Ammonizioni;Espulsioni;Ruolo?
2022-23;Jacopo Segre;Torino;25;1;21;0;0;0;0;0;0;Dif
2022-23;Vivaldo Semedo;Udinese;17;5;36;0;0;0;0;0;0;Att,Cen
2022-23;Stefano Sensi;Monza;26;28;1.618;3;1;3;0;8;0;Cen
2022-23;Luigi Sepe;Salernitana;31;17;1.530;0;0;0;0;3;0;Por
2022-23;Leonardo Sernicola;Cremonese;25;32;2.317;2;2;2;0;11;0;Dif
2022-23;Stephan El Shaarawy;Roma;29;29;1.523;7;2;7;0;3;0;Dif,Cen
2022-23;Eldor Shomurodov;Spezia;27;15;809;1;1;1;0;2;0;Att
2022-23;Eldor Shomurodov;Roma;27;6;119;0;0;0;0;0;0;Att
2022-23;Marco Silvestri;Udinese;31;38;3.420;0;0;0;0;0;0;Por
2022-23;Giovanni Simeone;Napoli;27;25;406;4;1;4;0;1;0;Att
2022-23;Wilfried Singo;Torino;21;31;2.046;2;1;2;0;8;0;Dif
2022-23;Salvatore Sirigu;Fiorentina;35;1;90;0;0;0;0;0;0;Por
2022-23;Leo Skiri Østigård;Napoli;22;7;419;0;0;0;0;1;0;Dif
2022-23;Łukasz Skorupski;Bologna;31;37;3.330;0;0;0;0;4;0;Por
2022-23;Milan Škriniar;Inter;27;21;1.769;0;0;0;0;5;1;Dif
2022-23;Chris Smalling;Roma;32;32;2.808;3;1;3;0;7;0;Dif
2022-23;Ola Solbakken;Roma;23;14;502;1;2;1;0;2;0;Cen,Att
2022-23;Brandon Soppy;Udinese;20;1;90;0;0;0;0;1;0;Dif
2022-23;Brandon Soppy;Atalanta;20;15;643;0;3;0;0;2;0;Dif
2022-23;Roberto Soriano;Bologna;31;27;1.326;1;3;1;0;1;0;Att,Cen
2022-23;Joaquin Sosa;Bologna;20;10;688;0;0;0;0;2;0;Dif
2022-23;Riccardo Sottil;Fiorentina;23;18;833;0;2;0;0;1;0;Att
2022-23;Matìas Soulé;Juventus;19;13;420;1;0;1;0;0;0;Cen,Att
2022-23;Adama Soumaoro;Bologna;30;23;1.867;0;0;0;0;5;1;Dif
2022-23;Leonardo Spinazzola;Roma;29;26;1.654;1;4;1;0;3;0;Dif
2022-23;Marco Sportiello;Atalanta;30;15;1.339;0;0;0;0;0;0;Por
2022-23;Petar Stojanović;Empoli;26;27;1.530;0;1;0;0;3;0;Dif
2022-23;Gabriel Strefezza;Lecce;25;35;2.442;8;4;8;2;5;0;Att,Cen
2022-23;Dávid Strelec;Spezia;21;7;169;0;0;0;0;0;0;Att
2022-23;Isaac Success;Udinese;26;30;1.815;1;6;1;0;4;0;Att
2022-23;Ibrahim Sulemana;Hellas Verona;19;16;651;0;0;0;0;4;0;Cen
2022-23;Mile Svilar;Roma;22;3;270;0;0;0;0;1;0;Por
2022-23;Wojciech Szczęsny;Juventus;32;28;2.472;0;0;0;0;0;0;Por
2022-23;Benjamin Tahirovic;Roma;19;11;355;0;0;0;0;1;0;Cen
2022-23;Adrien Tameze;Hellas Verona;28;37;3.031;0;0;0;0;3;0;Cen
2022-23;Ciprian Tătărușanu;Milan;36;16;1.440;0;1;0;0;0;0;Por
2022-23;Filippo Terracciano;Hellas Verona;19;20;821;0;1;0;0;2;0;Dif,Cen
2022-23;Pietro Terracciano;Fiorentina;32;29;2.610;0;0;0;0;1;0;Por
2022-23;Aleksa Terzić;Fiorentina;22;22;935;1;1;1;0;2;0;Dif
2022-23;Florian Thauvin;Udinese;29;16;546;0;0;0;0;1;0;Att,Cen
2022-23;Malick Thiaw;Milan;20;20;1.362;0;0;0;0;5;0;Dif
2022-23;Kristian Thorstvedt;Sassuolo;23;31;1.136;2;1;2;0;5;0;Cen
2022-23;Jeremy Toljan;Sassuolo;27;31;2.672;0;1;0;0;3;0;Dif
2022-23;Rafael Tolói;Atalanta;31;32;2.784;2;1;2;0;8;0;Dif
2022-23;Fikayo Tomori;Milan;24;33;2.760;1;1;1;0;5;0;Dif
2022-23;Sandro Tonali;Milan;22;34;2.713;2;7;2;0;7;0;Cen
2022-23;Lorenzo Tonelli;Empoli;32;1;19;0;0;0;0;0;1;Dif
2022-23;William Troost-Ekong;Salernitana;28;9;444;1;0;1;0;1;0;Dif
2022-23;Frank Tsadjout;Cremonese;23;20;1.051;3;1;3;0;1;0;Att
2022-23;Alessandro Tuia;Lecce;32;7;509;0;0;0;0;1;0;Dif
2022-23;Martin Turk;Sampdoria;18;4;360;0;0;0;0;0;0;Por
2022-23;Destiny Udogie;Udinese;19;33;2.704;3;4;3;0;5;0;Dif
2022-23;Samir Ujkani;Empoli;34;1;7;0;0;0;0;0;0;Por
2022-23;Samuel Umtiti;Lecce;28;25;2.113;0;0;0;0;8;0;Dif
2022-23;Diego Valencia;Salernitana;22;12;231;0;0;0;0;1;0;Cen,Att
2022-23;Emanuele Valeri;Cremonese;23;37;2.785;2;3;2;0;3;0;Dif
2022-23;Mattia Valoti;Monza;28;16;453;0;0;0;0;1;0;Cen,Att
2022-23;Johan Vásquez;Cremonese;23;25;1.813;1;0;1;0;7;0;Dif
2022-23;Matías Vecino;Lazio;30;32;1.691;2;0;2;0;6;0;Cen
2022-23;Miguel Veloso;Hellas Verona;36;22;1.163;0;0;0;0;6;0;Cen
2022-23;Lorenzo Venuti;Fiorentina;27;17;924;0;1;0;0;2;0;Dif
2022-23;Daniele Verde;Spezia;26;25;998;3;0;3;1;1;0;Att,Cen
2022-23;Simone Verdi;Hellas Verona;30;24;1.096;5;0;5;1;3;0;Cen,Att
2022-23;Valerio Verre;Sampdoria;28;18;677;0;0;0;0;5;0;Cen
2022-23;Guglielmo Vicario;Empoli;25;31;2.783;0;0;0;0;3;0;Por
2022-23;Ronaldo Vieira;Torino;24;2;16;0;0;0;0;0;0;Cen
2022-23;Ronaldo Vieira;Sampdoria;24;16;815;0;0;0;0;3;0;Cen
2022-23;Emanuel Vignato;Bologna;21;8;242;0;1;0;0;1;0;Cen,Att
2022-23;Emanuel Vignato;Empoli;21;5;57;1;0;1;0;0;0;Cen,Att
2022-23;Samuele Vignato;Monza;18;5;62;0;1;0;0;0;0;Cen,Att
2022-23;Tonny Vilhena;Salernitana;27;33;2.265;4;1;4;0;5;0;Cen
2022-23;Gonzalo Villar;Sampdoria;24;15;696;0;0;0;0;2;0;Cen
2022-23;Matías Viña;Roma;24;3;55;0;0;0;0;0;0;Dif
2022-23;Dušan Vlahović;Juventus;22;27;1.925;10;2;10;2;1;0;Att
2022-23;Nikola Vlašić;Torino;24;34;2.728;5;6;5;0;1;0;Cen,Att
2022-23;Joel Voelkerling Persson;Lecce;19;9;99;0;0;0;0;0;0;Att,Cen
2022-23;Mërgim Vojvoda;Torino;27;29;1.719;0;5;0;0;3;0;Dif
2022-23;Cristian Volpato;Roma;18;7;227;1;1;1;0;0;0;Cen
2022-23;Lukáš Vorlický;Atalanta;20;3;24;0;0;0;0;0;0;Cen,Att
2022-23;Aster Vranckx;Milan;19;9;240;0;0;0;0;1;0;Cen
2022-23;Stefan de Vrij;Inter;30;27;1.945;1;0;1;0;4;0;Dif
2022-23;Walace;Udinese;27;37;3.190;0;1;0;0;6;0;Cen
2022-23;Sebastian Walukiewicz;Empoli;22;11;603;0;0;0;0;0;0;Dif
2022-23;Georginio Wijnaldum;Roma;31;14;769;2;0;2;0;0;0;Cen
2022-23;Harry Winks;Sampdoria;26;20;1.716;0;0;0;0;2;0;Cen
2022-23;Przemysław Wiśniewski;Spezia;24;14;1.003;1;0;1;0;3;0;Dif
2022-23;Gerard Yepes;Sampdoria;19;5;198;0;0;0;0;2;0;Cen
2022-23;Mattia Zaccagni;Lazio;27;35;2.770;10;6;10;1;9;0;Att
2022-23;Denis Zakaria;Juventus;25;2;123;0;0;0;0;0;0;Cen
2022-23;Nicola Zalewski;Roma;20;33;2.197;2;1;2;0;3;0;Dif
2022-23;André-Frank Zambo Anguissa;Napoli;26;36;3.050;3;5;3;0;3;0;Cen
2022-23;Luca Zanimacchia;Cremonese;24;15;746;0;0;0;0;2;0;Cen,Att
2022-23;Nicolò Zaniolo;Roma;23;13;890;1;0;1;0;4;0;Cen,Att
2022-23;Alessandro Zanoli;Sampdoria;21;22;1.540;2;3;2;0;3;0;Dif
2022-23;Alessandro Zanoli;Napoli;21;1;12;0;0;0;0;0;0;Dif
2022-23;Mattia Zanotti;Inter;19;2;27;0;0;0;0;0;0;Dif
2022-23;Duván Zapata;Atalanta;31;25;1.390;2;2;2;0;1;0;Att
2022-23;Davide Zappacosta;Atalanta;30;21;1.471;4;2;4;0;4;0;Dif
2022-23;Karim Zedadka;Napoli;22;3;20;0;0;0;0;0;0;Att
2022-23;Deyovaisio Zeefuik;Hellas Verona;24;1;10;0;0;0;0;0;0;Dif
2022-23;Marvin Zeegelaar;Udinese;31;7;353;1;0;1;0;3;1;Dif
2022-23;Alessio Zerbin;Napoli;23;10;198;0;0;0;0;1;0;Att
2022-23;Piotr Zieliński;Napoli;28;37;2.287;3;8;3;0;3;0;Cen
2022-23;David Zima;Torino;21;9;406;0;0;0;0;0;0;Dif
2022-23;Joshua Zirkzee;Bologna;21;19;822;2;2;2;0;1;0;Att
2022-23;Jeroen Zoet;Spezia;31;5;334;0;0;0;0;1;0;Por
2022-23;Nadir Zortea;Atalanta;23;9;222;1;0;1;0;1;0;Dif,Cen
2022-23;Nadir Zortea;Sassuolo;23;10;657;0;1;0;0;4;0;Dif
2022-23;Petar Zovko;Spezia;20;1;74;0;0;0;0;0;0;Por
2022-23;Szymon Żurkowski;Fiorentina;24;2;32;0;1;0;0;0;0;Cen
2022-23;Szymon Żurkowski;Spezia;24;10;427;0;0;0;0;1;0;Cen
2022-23;Milan Đurić;Hellas Verona;32;28;1.366;1;1;1;0;3;0;Att
2022-23;Filip Đuričić;Sampdoria;30;32;2.171;3;0;3;0;9;0;Cen,Att
2021-22;Tammy Abraham;Roma;23;37;3.084;17;4;14;3;9;0;Att
2021-22;Francesco Acerbi;Lazio;33;30;2.536;4;0;4;0;2;1;Dif
2021-22;Michel Aebischer;Bologna;24;12;443;0;0;0;0;1;0;Cen
2021-22;Felix Afena-Gyan;Roma;18;17;668;2;0;2;0;5;1;Att,Cen
2021-22;Kevin Agudelo;Spezia;22;23;1.237;3;1;3;0;2;1;Cen,Att
2021-22;Ola Aina;Torino;24;21;1.437;0;0;0;0;4;0;Dif
2021-22;Marley Aké;Juventus;20;4;77;0;0;0;0;1;0;Att,Cen
2021-22;Jean-Daniel Akpa-Akpro;Lazio;28;10;315;0;0;0;0;1;0;Cen
2021-22;Luis Alberto Romero Alconchel;Lazio;28;34;2.353;5;9;5;0;5;0;Cen
2021-22;Giorgio Altare;Cagliari;22;19;1.466;1;0;1;0;5;0;Dif
2021-22;Wisdom Amey;Bologna;15;1;71;0;0;0;0;0;0;Dif
2021-22;Kelvin Amian;Spezia;23;32;2.646;1;1;1;0;9;2;Dif
2021-22;Nadiem Amiri;Genoa;24;13;683;0;1;0;0;0;0;Cen,Att
2021-22;Ethan Ampadu;Venezia;20;29;2.282;0;3;0;0;13;2;Cen,Dif
2021-22;Sofyan Amrabat;Fiorentina;24;23;944;1;0;1;0;6;0;Cen
2021-22;Felipe Anderson;Lazio;28;38;2.888;6;8;6;0;2;0;Att
2021-22;Ebenezer Annan;Bologna;18;1;25;0;0;0;0;0;0;Dif
2021-22;Cristian Ansaldi;Torino;34;19;691;0;3;0;0;2;0;Dif
2021-22;Janis Antiste;Spezia;18;18;796;1;0;1;0;0;0;Att
2021-22;Mattia Aramu;Venezia;26;32;2.100;7;5;4;3;6;0;Cen,Att
2021-22;Marko Arnautović;Bologna;32;33;2.694;14;1;12;2;6;0;Att
2021-22;Tolgay Arslan;Udinese;30;30;1.658;1;0;1;0;9;0;Cen
2021-22;Kristoffer Askildsen;Sampdoria;20;19;754;0;0;0;0;5;0;Cen
2021-22;Kristjan Asllani;Empoli;19;23;1.353;1;1;1;0;2;0;Cen
2021-22;Emil Audero;Sampdoria;24;29;2.560;0;0;0;0;2;0;Por
2021-22;Tommaso Augello;Sampdoria;26;36;2.395;1;1;1;0;0;0;Dif
2021-22;Ramzi Aya;Salernitana;30;2;135;0;0;0;0;1;0;Dif
2021-22;Kaan Ayhan;Sassuolo;26;23;1.354;1;0;1;0;2;1;Dif
2021-22;Milan Badelj;Genoa;32;34;2.844;1;0;1;0;4;0;Cen
2021-22;Nicola Bagnolini;Bologna;17;1;3;0;0;0;0;0;0;Por
2021-22;Issa Bah;Venezia;19;1;9;0;0;0;0;0;0;Att
2021-22;Nedim Bajrami;Empoli;22;35;2.054;6;5;3;3;3;0;Cen,Att
2021-22;Tiémoué Bakayoko;Milan;26;14;501;0;0;0;0;3;0;Cen
2021-22;Tommaso Baldanzi;Empoli;18;1;18;0;0;0;0;0;0;Att
2021-22;Keita Baldé Diao;Cagliari;26;26;1.229;3;1;3;0;2;0;Att
2021-22;Fodé Ballo-Touré;Milan;24;10;446;0;0;0;0;2;0;Dif
